"","OFT","PedCount","IfSideWalk","IfBikeLane","PopDen","JobDen","IntNum","TraStpNum","AADT","PerCommercial","PerOffice","PerIndustrial","PerOpenspace","Entropy","IfDowntown","PerChild","PerOld","PerMale","PerWhite","PerBlack","PerHisp","PerPoverty","AvgHHSize","AvgVeh","IfMain","IfSecondary","StrtLitNum","IfEst"
"5764","024203840374",0,1,0,4.55149984833237,7.13068309572072,28,0,2697,0.110148366550829,0.0143547528659928,0,0,0.140478587337531,0,0.244121715076072,0.232365145228216,0.435684647302905,0.648686030428769,0.0975103734439834,0.0338865836791148,0.00026625172890733,2.39,1.57874762808349,0,0,0,1
"5765","025413261508",0,1,0,34.275470543695,1.58499285751191,23,0,2697,0.0606034428360552,0.458746179589259,0,0,0.29328547888064,0,0.171767028627838,0.115498519249753,0.539980256663376,0.421520236920039,0.257650542941757,0.297137216189536,0.000408687068114511,2.78,1.40967741935484,0,0,0,1
"5766","051916181516",0,1,0,9.47095345156912,0,25,0,2697,0,0,0,0,0.00130378336077711,0,0.221260815822002,0.187886279357231,0.49938195302843,0.830655129789864,0.0284301606922126,0.0111248454882571,5.19159456118665e-05,2.81,2.09027777777778,0,0,0,1
"5767","025400122923",0,1,0,22.2805000310226,16.9658853447237,19,0,2697,0,0.205470811365822,0,0,0.254448607361072,0,0.08984145625367,0.0152671755725191,0.539635936582501,0.686435701702877,0.0804462712859659,0.08984145625367,0.000301820317087493,1.72,0.956692913385827,0,0,0,1
"5768","151504200430",0,1,0,16.3212207083068,3.00160380842424,28,0,2697,0.00731515299351114,0.0174472773594208,0,0,0.0441117829944365,0,0.0515267175572519,0.139312977099237,0.556297709923664,0.330152671755725,0.567748091603053,0.00763358778625954,0.000484732824427481,1.67,0.901116427432217,0,0,0,1
"5769","004700420052",0,1,0,0,110.284551720643,35,0,9500,0.181896453411307,0.751660660582999,0,0,0.234164789165334,1,0.0350378787878788,0.111268939393939,0.746212121212121,0.359375,0.429924242424242,0.0430871212121212,0.000195075757575758,1.37,0.630522088353414,0,0,7,1
"5770","220329230022",0,1,0,0,0,26,0,20000,0.297465472671691,0,0.0216428824643789,0,0.235375719502554,0,0.325607687959299,0.0361786319954777,0.544375353306953,0.135669869983041,0.277557942340305,0.474844544940644,0.000383832673827021,4.24,1.67865707434053,0,1,6,1
"5771","210503600370",0,1,0,15.947935002166,0.398698375054151,20,0,2697,0,0,0,0.489272415869579,0.346671695286206,0,0.244949494949495,0.0113636363636364,0.491161616161616,0.338383838383838,0.450757575757576,0.0303030303030303,0.000898989898989899,3.31,1.7907949790795,0,0,0,1
"5772","331102210231",0,1,0,25.0133720134672,0,45,0,1750,0,0,0.21755030790228,0,0.262386706912884,0,0.254114549045425,0.0296247531270573,0.529953917050691,0.443712969058591,0.273206056616195,0.196840026333114,0.000319947333772219,3.19,1.22689075630252,0,1,0,1
"5773","12212006C88S",0,1,0,0,40.1073062642588,26,0,19300,0.159027066188268,0,0.764120598460455,0,0.231036654285455,0,0.0102239532619279,0.0311587147030185,0.561343719571568,0.843719571567673,0.0189873417721519,0.0282375851996105,0.000259980525803311,3.17,2.30401234567901,0,1,3,1
"5774","031205840574",0,1,0,52.2547960256232,2.09418075675207,19,0,2697,0,0,0,0.499307842195133,0.346773321362706,0,0.344493392070485,0.0185022026431718,0.434361233480176,0.318061674008811,0.149779735682819,0.395594713656388,0.000583259911894273,2.96,1.05555555555556,0,0,0,1
"5775","003100263105",0,1,0,8.82146061397807,0,24,0,830,0,0,0,0,0.00130372491590164,0,0.0697329376854599,0.175074183976261,0.448071216617211,0.863501483679525,0.0697329376854599,0.0548961424332344,0.000213649851632047,1.76,1.22774869109948,0,0,2,1
"5776","291104900500",0,1,0,11.7437166898247,0,19,0,2697,0,0,0,0,0.00130390684046678,0,0.17258064516129,0.130645161290323,0.487096774193548,0.529032258064516,0.341935483870968,0.0903225806451613,0.000224193548387097,2.82,1.62727272727273,0,0,0,1
"5777","2002M55EM55W",0,1,0,0,0,41,0,2697,0,0.082000649491472,0,0.289881193970958,0.285609920125628,0,0.294995187680462,0.0635226179018287,0.400384985563041,0.173724735322425,0.52502406159769,0.10827718960539,0.000339268527430221,2.76,1.0929614873838,0,0,0,1
"5778","033400420052",0,1,0,21.9325151793578,0,24,0,2697,0.0366941150970912,0,0,0,0.0792732826675046,0,0.186071817192601,0.058215451577802,0.592491838955386,0.23449401523395,0.198041349292709,0.450489662676823,0.000231229597388466,3.33,1.54280510018215,0,0,2,1
"5779","150113190068",0,1,0,6.86641853579088,23.8831949070987,41,0,13900,0.635897346248012,0.000453697584943522,0,0,0.219737483488116,0,0.0958795562599049,0.0792393026941363,0.489698890649762,0.741679873217116,0.0206022187004754,0.0562599049128368,0.000315372424722662,1.98,1.23390894819466,0,1,5,1
"5780","028401720182",0,1,1,35.8040258012324,1.82054368480843,23,0,10600,0,0,0,0,0.00130387669137118,0,0.308130081300813,0.0235772357723577,0.529268292682927,0.226829268292683,0.127642276422764,0.59349593495935,0.000394308943089431,2.86,0.899038461538462,0,1,0,1
"5781","036023302221",0,1,0,14.6750947524208,0,20,0,2697,0,0,0,0,0.00130374046093552,0,0.270940170940171,0.0333333333333333,0.541025641025641,0.18974358974359,0.441880341880342,0.0401709401709402,0.000354700854700855,2.77,1.32387706855792,0,0,0,1
"5782","049403320342",0,1,0,10.878593270043,0,31,0,2697,0.000991524566194357,0,0,0,0.00457565844830469,0,0.0865892291446674,0.139387539598733,0.586061246040127,0.833157338965153,0.111932418162619,0.0105596620908131,8.23653643083421e-05,2.08,1.54065934065934,0,0,0,1
"5783","041203840374",0,1,0,12.42458006551,4.96983202620401,24,0,2697,0.0218080390283297,0,0,0,0.0531348008402534,0,0.117647058823529,0.0835294117647059,0.436470588235294,0.905882352941176,0.0588235294117647,0.0188235294117647,0.000169411764705882,1.98,1.4988344988345,0,0,0,1
"5784","170403490359",0,0,0,27.2880420088463,2.20712104483315,25,0,440,0,0,0,0,0.00130372602853188,0,0.0972590627763042,0.0539345711759505,0.486295313881521,0.905393457117595,0.00884173297966402,0.0212201591511936,0.000153846153846154,1.71,1.34298780487805,0,0,0,1
